existing_url,status,indexability,title,h1,meta_description,word_count,canonical,primary_topic,search_intent,cannibalization_risk,recommended_action,destination_if_consolidating,supporting_landing_page,priority,notes
/blog,200 OK,Indexable,Blog — Relief Plus,Why Your Jaw Hurts (TMJ Pain Guide for Lafayette LA),"Learn why back pain, neck pain, sciatica, and joint injuries are so common in Carencro, LA, and how chiropractic care, rehab, and movement-based treatment can help.",417,https://www.myreliefplus.com/blog,Local / Educational,Content discovery and topical navigation,Low,RESTORE,,/services,P0,Rebuild as the real blog hub; its current H1 incorrectly reflects the newest article.
/blog/why-your-hip-hurts-when-you-walk-lafayette-la-guide,200 OK,Indexable,Why Your Hip Hurts When You Walk (Lafayette LA Guide) — Relief Plus,Why Your Hip Hurts When You Walk (Lafayette LA Guide),,706,https://www.myreliefplus.com/blog/why-your-hip-hurts-when-you-walk-lafayette-la-guide,Knee / Hip / Lower Extremity,Narrow patient education / informational,Low,KEEP / LIGHT POLISH,,/hip-pain-lafayette,P2,"Distinct narrow informational intent; preserve URL and original date, then improve links, sourcing, and wording only where needed."
/blog/why-your-elbow-hurts-when-you-lift-lafayette-la-guide,200 OK,Indexable,Why Your Elbow Hurts When You Lift (Lafayette LA Guide) — Relief Plus,Why Your Elbow Hurts When You Lift (Lafayette LA Guide),,727,https://www.myreliefplus.com/blog/why-your-elbow-hurts-when-you-lift-lafayette-la-guide,Shoulder / Upper Extremity,Narrow patient education / informational,Low,KEEP / LIGHT POLISH,,/tennis-elbow-lafayette,P2,"Distinct narrow informational intent; preserve URL and original date, then improve links, sourcing, and wording only where needed."
/blog/healing-your-shoulder-why-prolozone-is-a-game-changer-for-ac-joint-injuries,200 OK,Indexable,Healing Your Shoulder: Why Prolozone is a Game-Changer for AC Joint Injuries — Relief Plus,Healing Your Shoulder: Why Prolozone is a Game-Changer for AC Joint Injuries,,586,https://www.myreliefplus.com/blog/healing-your-shoulder-why-prolozone-is-a-game-changer-for-ac-joint-injuries,Shoulder / Upper Extremity,Narrow patient education / informational,Medium,HOLD FOR OWNER REVIEW,,/shoulder-pain-lafayette,P1,"Preserve URL and original publication date; improve unique purpose, clinical nuance, sources, headings, and contextual links. Refine overbroad or promotional claims where present."
/blog/car-accident-injury-treatment-in-lafayette-la-what-to-do-immediately-and-why-waiting-can-make-it-worse,200 OK,Indexable,Car Accident Injury Treatment in Lafayette LA: What to Do Immediately (And Why Waiting Can Make It Worse) — Relief Plus,Car Accident Injury Treatment in Lafayette LA: What to Do Immediately (And Why Waiting Can Make It Worse),,745,https://www.myreliefplus.com/blog/car-accident-injury-treatment-in-lafayette-la-what-to-do-immediately-and-why-waiting-can-make-it-worse,Injury / Function,Local commercial treatment intent,High,CONSOLIDATE TO LANDING PAGE,/car-accident-injuries-lafayette,/car-accident-injuries-lafayette,P2,"Preserve URL and original publication date; improve unique purpose, clinical nuance, sources, headings, and contextual links. Refine overbroad or promotional claims where present."
/blog/can-ozone-injections-help-your-knee-osteoarthritis-a-modern-approach-to-pain-management,200 OK,Indexable,Can Ozone Injections Help Your Knee Osteoarthritis? A Modern Approach to Pain Management — Relief Plus,Can Ozone Injections Help Your Knee Osteoarthritis? A Modern Approach to Pain Management,,789,https://www.myreliefplus.com/blog/can-ozone-injections-help-your-knee-osteoarthritis-a-modern-approach-to-pain-management,Knee / Hip / Lower Extremity,Narrow patient education / informational,Low,UPGRADE,,/knee-osteoarthritis-lafayette,P2,"Preserve URL and original publication date; improve unique purpose, clinical nuance, sources, headings, and contextual links. Refine overbroad or promotional claims where present."
/blog/unlocking-recovery-how-systemic-ozone-therapy-complements-chiropractic-care,200 OK,Indexable,Unlocking Recovery: How Systemic Ozone Therapy Complements Chiropractic Care — Relief Plus,Unlocking Recovery: How Systemic Ozone Therapy Complements Chiropractic Care,,798,https://www.myreliefplus.com/blog/unlocking-recovery-how-systemic-ozone-therapy-complements-chiropractic-care,Regenerative / Advanced Treatments,Narrow patient education / informational,Low,HOLD FOR OWNER REVIEW,,/ozone-injection-therapy-lafayette,P2,"Preserve URL and original publication date; improve unique purpose, clinical nuance, sources, headings, and contextual links. Refine overbroad or promotional claims where present."
/blog/why-your-neck-hurts-when-you-wake-up-lafayette-la-guide,200 OK,Indexable,Why Your Neck Hurts When You Wake Up (Lafayette LA Guide) — Relief Plus,Why Your Neck Hurts When You Wake Up (Lafayette LA Guide),,764,https://www.myreliefplus.com/blog/why-your-neck-hurts-when-you-wake-up-lafayette-la-guide,Chiropractic / Spine,Narrow patient education / informational,Low,KEEP / LIGHT POLISH,,/neck-pain-lafayette,P2,"Distinct narrow informational intent; preserve URL and original date, then improve links, sourcing, and wording only where needed."
/blog/why-your-jaw-hurts-tmj-pain-guide-for-lafayette-la,200 OK,Indexable,Why Your Jaw Hurts (TMJ Pain Guide for Lafayette LA) — Relief Plus,Why Your Jaw Hurts (TMJ Pain Guide for Lafayette LA),,680,https://www.myreliefplus.com/blog/why-your-jaw-hurts-tmj-pain-guide-for-lafayette-la,TMJ / Headache,Narrow patient education / informational,Low,RESTORE,,/tmj-treatment-lafayette,P0,"Linked from a built condition page; restore exact URL and upgrade evidence, structure, metadata, and internal links during build."
/blog/whiplash-treatment-in-lafayette-la-symptoms-causes-and-how-to-recover-faster,200 OK,Indexable,"Whiplash Treatment in Lafayette LA: Symptoms, Causes, and How to Recover Faster — Relief Plus","Whiplash Treatment in Lafayette LA: Symptoms, Causes, and How to Recover Faster",,679,https://www.myreliefplus.com/blog/whiplash-treatment-in-lafayette-la-symptoms-causes-and-how-to-recover-faster,Knee / Hip / Lower Extremity,Local commercial treatment intent,High,CONSOLIDATE TO LANDING PAGE,/car-accident-injuries-lafayette,/hip-pain-lafayette,P2,"Preserve URL and original publication date; improve unique purpose, clinical nuance, sources, headings, and contextual links. Refine overbroad or promotional claims where present."
/blog/shoulder-pain-treatment-in-lafayette-la-why-it-wont-go-away-and-what-actually-helps,200 OK,Indexable,Shoulder Pain Treatment in Lafayette LA: Why It Won’t Go Away (And What Actually Helps) — Relief Plus,Shoulder Pain Treatment in Lafayette LA: Why It Won’t Go Away (And What Actually Helps),,669,https://www.myreliefplus.com/blog/shoulder-pain-treatment-in-lafayette-la-why-it-wont-go-away-and-what-actually-helps,Shoulder / Upper Extremity,Local commercial treatment intent,High,CONSOLIDATE TO LANDING PAGE,/shoulder-pain-lafayette,/shoulder-pain-lafayette,P1,Intent competes directly with the local commercial landing page; fold unique information into that page before a future one-hop redirect.
/blog/why-your-hands-go-numb-at-night-lafayette-la-guide,200 OK,Indexable,Why Your Hands Go Numb at Night (Lafayette LA Guide) — Relief Plus,Why Your Hands Go Numb at Night (Lafayette LA Guide),,732,https://www.myreliefplus.com/blog/why-your-hands-go-numb-at-night-lafayette-la-guide,Chiropractic / Spine,Narrow patient education / informational,Low,KEEP / LIGHT POLISH,,/pinched-nerve-lafayette,P2,"Distinct narrow informational intent; preserve URL and original date, then improve links, sourcing, and wording only where needed."
