current_url,current_status,indexability,current_canonical,current_redirect,proposed_target,action,priority,decision_status,notes
https://www.myreliefplus.com/,200 OK,Indexable,https://www.myreliefplus.com/,,/,Preserve URL and rebuild equivalent page,P0,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/neck-pain-lafayette,200 OK,Indexable,https://www.myreliefplus.com/neck-pain-lafayette,,/neck-pain-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/privacy-policy-3,200 OK,Indexable,https://www.myreliefplus.com/privacy-policy-3,,/good-faith-estimate,Rebuild target and 301 legacy slug,P1,Proposed,Current slug serves Good Faith Estimate content; preserve equity with a direct 301 after target approval.
https://www.myreliefplus.com/ozone-injection-therapy-lafayette,200 OK,Indexable,https://www.myreliefplus.com/ozone-injection-therapy-lafayette,,/ozone-injection-therapy-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/conditions-we-treat,302 Found,Non-Indexable,,https://www.myreliefplus.com/back-pain-lafayette,/conditions-we-treat,Replace redirect with indexable hub,P0,Proposed,Currently redirects to /back-pain-lafayette; rebuild as the conditions hub linked from the new homepage.
https://www.myreliefplus.com/time-card,200 OK,Indexable,https://www.myreliefplus.com/time-card,,/time-card,KEEP exact route as hidden staff clock utility; noindex nofollow; exclude from sitemap and public schema; preserve or add appropriate access controls,P1,Approved owner decision,Not a public SEO destination. Existing Next.js rebuild has no route or authentication implementation; protected staff functionality must be supplied and verified before launch. A discreet Staff footer link may remain.
https://www.myreliefplus.com/sciatica-treatment-lafayette,200 OK,Indexable,https://www.myreliefplus.com/sciatica-treatment-lafayette,,/sciatica-treatment-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/invisared-weight-loss-lafayette,200 OK,Indexable,https://www.myreliefplus.com/invisared-weight-loss-lafayette,,/invisared-weight-loss-lafayette,Preserve exact URL with rebuilt wellness/body-contouring page,P2,Implemented owner decision,"Exact path, intent, metadata, canonical, sitemap membership, and internal linking preserved. Copy avoids unverified device, manufacturer, mechanism, disease-treatment, and outcome claims."
https://www.myreliefplus.com/faq-lafayette,200 OK,Indexable,https://www.myreliefplus.com/faq-lafayette,,/faq-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/plantar-fasciitis-lafayette,200 OK,Indexable,https://www.myreliefplus.com/plantar-fasciitis-lafayette,,/plantar-fasciitis-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/work-injury-lafayette,200 OK,Indexable,https://www.myreliefplus.com/work-injury-lafayette,,/work-injury-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/team,200 OK,Indexable,https://www.myreliefplus.com/team,,/team,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/hip-pain-lafayette,200 OK,Indexable,https://www.myreliefplus.com/hip-pain-lafayette,,/hip-pain-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/pinched-nerve-lafayette,200 OK,Indexable,https://www.myreliefplus.com/pinched-nerve-lafayette,,/pinched-nerve-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/back-pain-lafayette,200 OK,Indexable,https://www.myreliefplus.com/back-pain-lafayette,,/back-pain-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/shockwave-therapy-lafayette,200 OK,Indexable,https://www.myreliefplus.com/shockwave-therapy-lafayette,,/shockwave-therapy-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/chiropractic-adjustments-lafayette,200 OK,Indexable,https://www.myreliefplus.com/chiropractic-adjustments-lafayette,,/chiropractic-adjustments-lafayette,Preserve URL and rebuild equivalent page,P0,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/new-dropdown,302 Found,Non-Indexable,,https://www.myreliefplus.com/chiropractic-adjustments-lafayette,/chiropractic-adjustments-lafayette,Replace temporary redirect with reviewed 301,P2,Proposed,"Confirm target relevance, then retain as a single-hop permanent redirect."
https://www.myreliefplus.com/blog,200 OK,Indexable,https://www.myreliefplus.com/blog,,/blog,Preserve URL and rebuild equivalent page,P0,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/hippa-privacy,200 OK,Indexable,https://www.myreliefplus.com/hippa-privacy,,/hipaa-notice-of-privacy-practices,Rebuild target and 301 misspelled legacy slug,P1,Proposed,Preserve the current URL via a direct 301 to the approved HIPAA notice route.
https://www.myreliefplus.com/car-accident-injuries-lafayette,200 OK,Indexable,https://www.myreliefplus.com/car-accident-injuries-lafayette,,/car-accident-injuries-lafayette,Preserve URL and rebuild equivalent page,P1,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
https://www.myreliefplus.com/contact,200 OK,Indexable,https://www.myreliefplus.com/contact,,/contact,Preserve URL and rebuild equivalent page,P0,Proposed,"Preserve current path, intent, primary content, metadata, canonical, and internal links."
