legacy_url,proposed_action,proposed_destination,reason,cannibalization_risk,search_console_backlink_review_required,owner_approval_required
/blog/back-pain-treatment-in-lafayette-la-what-actually-works-and-why-most-treatments-fail,CONSOLIDATE TO LANDING PAGE,/back-pain-lafayette,Direct local-commercial overlap; preserve unique useful content first,High,Yes,Yes
/blog/sciatica-treatment-in-lafayette-la-how-to-get-relief-fast-and-what-actually-works,CONSOLIDATE TO LANDING PAGE,/sciatica-treatment-lafayette,Direct local-commercial overlap and overpromising title,High,Yes,Yes
/blog/shoulder-pain-treatment-in-lafayette-la-why-it-wont-go-away-and-what-actually-helps,CONSOLIDATE TO LANDING PAGE,/shoulder-pain-lafayette,Broad commercial intent is owned by the condition page,High,Yes,Yes
/blog/knee-pain-treatment-in-lafayette-la-causes-solutions-and-when-to-get-help,CONSOLIDATE TO LANDING PAGE,/knee-pain-lafayette,Broad commercial intent is owned by the condition page,High,Yes,Yes
/blog/car-accident-injury-treatment-in-lafayette-la-what-to-do-immediately-and-why-waiting-can-make-it-worse,CONSOLIDATE TO LANDING PAGE,/car-accident-injuries-lafayette,Competes with landing page and uses fear-based urgency,High,Yes,Yes
/blog/whiplash-treatment-in-lafayette-la-symptoms-causes-and-how-to-recover-faster,CONSOLIDATE TO LANDING PAGE,/car-accident-injuries-lafayette,Local treatment intent and recover-faster framing,High,Yes,Yes
/blog/when-to-see-a-chiropractor-in-lafayette-la-signs-you-shouldnt-ignore,CONSOLIDATE TO LANDING PAGE,/chiropractic-adjustments-lafayette,Broad local-commercial intent,High,Yes,Yes
/blog/beyond-the-adjustment-why-carencros-industrial-athletes-trust-relief-plus-for-total-recovery,CONSOLIDATE TO ARTICLE,/blog/the-carencro-commute-and-the-industrial-athlete-is-your-job-winning-the-war-on-your-spine,Overlapping Carencro industrial-worker purpose,High,Yes,Yes
/blog/rediscovering-primal-movement-patterns-for-modern-wellness,CONSOLIDATE TO ARTICLE,/blog/unlocking-the-bodys-potential-the-science-of-natural-movement,Substantial primal/natural movement overlap,High,Yes,Yes
/blog/treating-plantar-fasciitis-through-dry-needling-efficacy-and-mechanism,CONSOLIDATE TO ARTICLE,/blog/the-effectiveness-of-dry-needling-for-plantar-fasciitis-insights-by-dr-shawn-d-johnston-at-relief-plus,Same modality-condition question; destination already restored,High,Yes,Yes
/blog/relieving-tension-headaches-the-chiropractic-approach,CONSOLIDATE TO ARTICLE,/blog/understanding-the-difference-tension-headaches-vs-migraines,Overlaps restored tension-headache education; preserve unique evidence first,Medium,Yes,Yes
/blog/healing-your-shoulder-why-prolozone-is-a-game-changer-for-ac-joint-injuries,HOLD FOR REDIRECT OR RETIREMENT REVIEW,,No genuinely equivalent replacement; article not approved for restoration,Medium,Yes,Yes
/blog/unlocking-recovery-how-systemic-ozone-therapy-complements-chiropractic-care,HOLD FOR REDIRECT OR RETIREMENT REVIEW,,Musculoskeletal ozone and chiropractic pages are not equivalent to systemic ozone,High,Yes,Yes
/blog/unlocking-the-secrets-of-sleep-chiropractic-techniques-for-a-restful-night,HOLD FOR REDIRECT OR RETIREMENT REVIEW,,No equivalent sleep-treatment page; article not approved for restoration,Medium,Yes,Yes
